cdd_event_id,customer_id,event_date,event_type,new_risk_score,previous_risk_level,new_risk_level,summary,edd_id,triggered_by,reviewer
CDD_7A5106C485,CUST_7AA6313C,2023-02-20,periodic_review,0.585,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Michael Rodriguez
CDD_4BB025BBC8,CUST_7AA6313C,2023-03-08,periodic_review,0.577,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Jessica Martinez
CDD_E6A05C67D4,CUST_7AA6313C,2023-03-24,periodic_review,0.527,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Jessica Martinez
CDD_D50145A1A7,CUST_7AA6313C,2023-04-28,periodic_review,0.6,medium,medium,Routine CDD review - Risk level maintained at medium - EDD investigation initiated,EDD_31EEA61B91,Automated CDD Schedule,William Taylor
CDD_503EE42480,CUST_7AA6313C,2023-06-10,risk_level_change,0.293,medium,low,Risk level increased during periodic CDD review,,Risk Model,Michael Rodriguez
CDD_34AED428B3,CUST_7AA6313C,2023-07-07,periodic_review,0.326,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,David Kim
CDD_A5D04B5C20,CUST_7AA6313C,2023-07-23,periodic_review,0.373,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Jessica Martinez
CDD_B405EC3073,CUST_7AA6313C,2023-08-14,periodic_review,0.232,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Robert Johnson
CDD_076A13372C,CUST_7AA6313C,2023-09-26,periodic_review,0.283,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Jessica Martinez
CDD_1290A07A57,CUST_7AA6313C,2023-10-26,periodic_review,0.379,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Emily Thompson
CDD_C29BEE59CF,CUST_7AA6313C,2023-12-05,periodic_review,0.255,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Emily Thompson
CDD_D1DE58D8A8,CUST_7AA6313C,2024-01-06,periodic_review,0.274,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,James Wilson
CDD_C9BC48F8F9,CUST_7AA6313C,2024-01-21,periodic_review,0.308,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,David Kim
CDD_DA79055DCC,CUST_7AA6313C,2024-02-22,risk_level_change,0.357,low,low,Risk level maintained during periodic CDD review,,Risk Model,Robert Johnson
CDD_F5CDE27D63,CUST_7AA6313C,2024-03-27,risk_level_change,0.276,low,low,Risk level maintained during periodic CDD review,,Risk Model,William Taylor
CDD_47A804710E,CUST_7AA6313C,2024-05-07,periodic_review,0.238,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Jessica Martinez
CDD_34F6D30026,CUST_7AA6313C,2024-06-10,periodic_review,0.307,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Sarah Chen
CDD_9DBA38E7B4,CUST_7AA6313C,2024-07-16,periodic_review,0.277,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Emily Thompson
CDD_5E39FE1931,CUST_7AA6313C,2024-08-19,periodic_review,0.324,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,David Kim
CDD_3CF7BF55BF,CUST_7AA6313C,2024-09-25,periodic_review,0.395,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Emily Thompson
CDD_7568E6B2C6,CUST_7AA6313C,2024-10-27,risk_level_change,0.357,low,low,Risk level maintained during periodic CDD review,,Risk Model,William Taylor
CDD_BC19837E2D,CUST_7AA6313C,2024-11-14,periodic_review,0.324,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Maria Garcia
CDD_FF413FD4BD,CUST_7AA6313C,2024-12-05,periodic_review,0.314,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,James Wilson
CDD_782452BAB1,CUST_7AA6313C,2025-01-01,periodic_review,0.216,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Michael Rodriguez
CDD_D205CE6F3C,CUST_7AA6313C,2025-01-26,periodic_review,0.392,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,David Kim
CDD_08AA2D3FA0,CUST_7AA6313C,2025-03-12,periodic_review,0.201,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Robert Johnson
CDD_150B83C503,CUST_7AA6313C,2025-04-26,periodic_review,0.305,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Jessica Martinez
CDD_B52BEB75C6,CUST_7AA6313C,2025-06-07,periodic_review,0.308,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Michael Rodriguez
CDD_4516D555BB,CUST_7AA6313C,2025-07-13,periodic_review,0.26,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Maria Garcia
CDD_62BCE4A474,CUST_7AA6313C,2025-08-19,periodic_review,0.233,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Emily Thompson
CDD_55F47FB793,CUST_7AA6313C,2025-09-13,periodic_review,0.358,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Maria Garcia
CDD_19A076F212,CUST_7AA6313C,2025-10-22,periodic_review,0.379,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Lisa Anderson
CDD_84588DA687,CUST_CC863572,2023-12-06,initial_risk_assessment,0.6,,medium,Initial onboarding risk assessment - Classified as medium risk,,Onboarding System,Robert Johnson
CDD_6C8C3F1AE9,CUST_CC863572,2024-03-05,periodic_review,0.647,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Jessica Martinez
CDD_8A5F90F7CA,CUST_CC863572,2024-05-19,periodic_review,0.513,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Michael Rodriguez
CDD_2D57E006FC,CUST_CC863572,2024-08-30,periodic_review,0.523,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Sarah Chen
CDD_1F6F8E987D,CUST_CC863572,2024-11-15,periodic_review,0.632,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Michael Rodriguez
CDD_64722ED0E8,CUST_CC863572,2025-02-07,periodic_review,0.566,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Robert Johnson
CDD_F1B33ADF05,CUST_CC863572,2025-05-17,periodic_review,0.566,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Lisa Anderson
CDD_096C9DDE09,CUST_CC863572,2025-08-26,periodic_review,0.665,medium,medium,Routine CDD review - Risk level maintained at medium - EDD investigation initiated,EDD_19E8F8AB29,Automated CDD Schedule,Emily Thompson
CDD_B15A8ABE8D,CUST_3E6F7D38,2023-10-21,initial_risk_assessment,0.3,,low,Initial onboarding risk assessment - Classified as low risk,,Onboarding System,Emily Thompson
CDD_9234707EA2,CUST_3E6F7D38,2024-04-18,periodic_review,0.304,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Jessica Martinez
CDD_A067E2F0F8,CUST_3E6F7D38,2024-10-09,periodic_review,0.223,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,James Wilson
CDD_D6698567D4,CUST_3E6F7D38,2025-04-02,periodic_review,0.373,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Michael Rodriguez
CDD_0AD2FA477C,CUST_3E6F7D38,2025-10-04,periodic_review,0.26,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,William Taylor
CDD_98F5C1D97F,CUST_BE3A428D,2023-11-28,initial_risk_assessment,0.85,,high,Initial onboarding risk assessment - Classified as high risk,,Onboarding System,Jessica Martinez
CDD_2628121AC6,CUST_BE3A428D,2023-12-28,periodic_review,0.871,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_4DA4C1840E,Automated CDD Schedule,Maria Garcia
CDD_4BB58BBF54,CUST_BE3A428D,2024-02-02,periodic_review,0.808,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_8D8EC22C1F,Automated CDD Schedule,Jessica Martinez
CDD_C70261435E,CUST_BE3A428D,2024-03-05,periodic_review,0.785,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_F14DFB51D7,Automated CDD Schedule,Maria Garcia
CDD_D43C471766,CUST_BE3A428D,2024-03-25,periodic_review,0.817,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_6802628B09,Automated CDD Schedule,William Taylor
CDD_2EDB53341F,CUST_BE3A428D,2024-04-13,periodic_review,0.754,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_4079D327CE,Automated CDD Schedule,Sarah Chen
CDD_17A5BBDF40,CUST_BE3A428D,2024-04-28,periodic_review,0.849,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_2984E20957,Automated CDD Schedule,Maria Garcia
CDD_501351C21B,CUST_BE3A428D,2024-06-03,periodic_review,0.879,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_D35FAFFE70,Automated CDD Schedule,David Kim
CDD_3851BC9CD9,CUST_BE3A428D,2024-06-20,periodic_review,0.907,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_A37ED19766,Automated CDD Schedule,Michael Rodriguez
CDD_BFCAEA5D92,CUST_BE3A428D,2024-07-05,periodic_review,0.894,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_28ED4F72F8,Automated CDD Schedule,Jessica Martinez
CDD_C9BABFFBC0,CUST_BE3A428D,2024-08-06,periodic_review,0.786,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_139F6C4D11,Automated CDD Schedule,Robert Johnson
CDD_646FA3BF39,CUST_BE3A428D,2024-09-03,periodic_review,0.938,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_E59D297EFC,Automated CDD Schedule,William Taylor
CDD_68CC1D00E4,CUST_BE3A428D,2024-10-09,periodic_review,0.818,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_164FD7B11E,Automated CDD Schedule,Robert Johnson
CDD_4AD8B6ADC4,CUST_BE3A428D,2024-11-20,risk_level_change,0.614,high,medium,Risk level increased during periodic CDD review,,Risk Model,Robert Johnson
CDD_A699E818B5,CUST_BE3A428D,2024-12-10,periodic_review,0.605,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,James Wilson
CDD_FDB4C35ECA,CUST_BE3A428D,2025-01-15,risk_level_change,0.619,medium,medium,Risk level maintained during periodic CDD review - EDD investigation initiated,EDD_BD5F5D35CF,Risk Model,Jessica Martinez
CDD_A812968D78,CUST_BE3A428D,2025-02-07,periodic_review,0.628,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Sarah Chen
CDD_033D5E3502,CUST_BE3A428D,2025-02-26,periodic_review,0.639,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Maria Garcia
CDD_83EDB96FD0,CUST_BE3A428D,2025-04-01,risk_level_change,0.691,medium,medium,Risk level maintained during periodic CDD review,,Risk Model,Emily Thompson
CDD_B8A6B82E87,CUST_BE3A428D,2025-04-23,periodic_review,0.621,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Jessica Martinez
CDD_7B4B8EED8E,CUST_BE3A428D,2025-05-26,periodic_review,0.624,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Robert Johnson
CDD_C8F0ECDA1A,CUST_BE3A428D,2025-07-08,periodic_review,0.585,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Maria Garcia
CDD_1BAE998BDC,CUST_BE3A428D,2025-08-17,periodic_review,0.533,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,David Kim
CDD_A945D30DA2,CUST_BE3A428D,2025-09-01,periodic_review,0.649,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Robert Johnson
CDD_FC843E344E,CUST_BE3A428D,2025-09-23,periodic_review,0.681,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,James Wilson
CDD_BF1320921F,CUST_BE3A428D,2025-10-14,periodic_review,0.64,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,William Taylor
CDD_A8BAEF13B5,CUST_538B2855,2022-09-27,initial_risk_assessment,0.85,,high,Initial onboarding risk assessment - Classified as high risk,,Onboarding System,James Wilson
CDD_38898069B7,CUST_538B2855,2022-10-27,periodic_review,0.87,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_CF361A12E7,Automated CDD Schedule,Sarah Chen
CDD_2127D3D954,CUST_538B2855,2022-11-29,periodic_review,0.827,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_6BA04D85EB,Automated CDD Schedule,Maria Garcia
CDD_6CC2214A0D,CUST_538B2855,2023-01-02,periodic_review,0.905,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_F06C8317D8,Automated CDD Schedule,Lisa Anderson
CDD_C070491224,CUST_538B2855,2023-01-21,periodic_review,0.89,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_410AF2FF7B,Automated CDD Schedule,Jessica Martinez
CDD_353F15ABAA,CUST_538B2855,2023-03-03,periodic_review,0.863,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_FAEB7C2F68,Automated CDD Schedule,Lisa Anderson
CDD_CAECB03DA9,CUST_538B2855,2023-03-29,periodic_review,0.781,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_18098FC223,Automated CDD Schedule,William Taylor
CDD_E6EB2B31FF,CUST_538B2855,2023-05-12,periodic_review,0.798,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_7E79198881,Automated CDD Schedule,Maria Garcia
CDD_4F601CD71D,CUST_538B2855,2023-06-04,periodic_review,0.856,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_3310EBCF53,Automated CDD Schedule,Emily Thompson
CDD_A0C6622B22,CUST_538B2855,2023-07-14,periodic_review,0.786,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_2C96B8BF1F,Automated CDD Schedule,Lisa Anderson
CDD_74573D5F8D,CUST_538B2855,2023-08-28,periodic_review,0.935,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_BA55586C6E,Automated CDD Schedule,David Kim
CDD_A3530B52C9,CUST_538B2855,2023-10-08,periodic_review,0.871,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_AF878050C0,Automated CDD Schedule,William Taylor
CDD_BECA6A5243,CUST_538B2855,2023-10-30,periodic_review,0.793,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_5288951F3B,Automated CDD Schedule,David Kim
CDD_1A9344D11E,CUST_538B2855,2023-12-09,periodic_review,0.924,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_BFBF8C3826,Automated CDD Schedule,Maria Garcia
CDD_78CE3B3DD4,CUST_538B2855,2024-01-23,periodic_review,0.816,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_8EDC669DEE,Automated CDD Schedule,Maria Garcia
CDD_DA0F1DA673,CUST_538B2855,2024-03-01,periodic_review,0.821,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_33B84AADBA,Automated CDD Schedule,David Kim
CDD_00A8FEC7B0,CUST_538B2855,2024-04-10,periodic_review,0.787,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_9BDC934ED6,Automated CDD Schedule,James Wilson
CDD_017037BF39,CUST_538B2855,2024-05-09,periodic_review,0.906,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_E6D9C66AF6,Automated CDD Schedule,Emily Thompson
CDD_2A7659A3C2,CUST_538B2855,2024-06-03,periodic_review,0.793,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_083BAFA6BF,Automated CDD Schedule,William Taylor
CDD_048729ECD0,CUST_538B2855,2024-06-18,risk_level_change,0.529,high,medium,Risk level increased during periodic CDD review,,Risk Model,David Kim
CDD_3A95CAAFCD,CUST_538B2855,2024-07-12,periodic_review,0.554,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Jessica Martinez
CDD_1661FFB332,CUST_538B2855,2024-08-10,periodic_review,0.546,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,David Kim
CDD_E9D17CDD0E,CUST_538B2855,2024-09-04,periodic_review,0.633,medium,medium,Routine CDD review - Risk level maintained at medium - EDD investigation initiated,EDD_D99DB8F235,Automated CDD Schedule,Robert Johnson
CDD_8CD740DA4B,CUST_538B2855,2024-10-09,risk_level_change,0.372,medium,low,Risk level increased during periodic CDD review,,Risk Model,Michael Rodriguez
CDD_DB7883205B,CUST_538B2855,2024-10-27,periodic_review,0.376,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Emily Thompson
CDD_D2451A9997,CUST_538B2855,2024-11-15,periodic_review,0.354,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Michael Rodriguez
CDD_B1DC9D7DB3,CUST_538B2855,2024-12-22,periodic_review,0.243,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Robert Johnson
CDD_D627229E66,CUST_538B2855,2025-01-08,periodic_review,0.258,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Jessica Martinez
CDD_115C9CAD42,CUST_538B2855,2025-01-24,risk_level_change,0.683,low,medium,Risk level increased during periodic CDD review,,Risk Model,William Taylor
CDD_2BD19AF863,CUST_538B2855,2025-02-23,periodic_review,0.615,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,David Kim
CDD_E03DEEEDA0,CUST_538B2855,2025-03-15,periodic_review,0.647,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Lisa Anderson
CDD_8BDA8DDC70,CUST_538B2855,2025-04-17,periodic_review,0.599,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Robert Johnson
CDD_726FEE10DD,CUST_538B2855,2025-05-30,risk_level_change,0.692,medium,medium,Risk level maintained during periodic CDD review,,Risk Model,Robert Johnson
CDD_DD0EC0DE39,CUST_538B2855,2025-06-20,periodic_review,0.642,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,David Kim
CDD_2705BA43E6,CUST_538B2855,2025-07-22,periodic_review,0.658,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Lisa Anderson
CDD_FD3E2CB144,CUST_538B2855,2025-08-17,periodic_review,0.6,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Maria Garcia
CDD_68D535F7C8,CUST_538B2855,2025-09-05,periodic_review,0.535,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Maria Garcia
CDD_CEE677231E,CUST_538B2855,2025-10-07,periodic_review,0.641,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Sarah Chen
CDD_DDA02D12E7,CUST_538B2855,2025-10-26,periodic_review,0.611,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,David Kim
CDD_F57C7E8471,CUST_209A8AF0,2023-01-07,initial_risk_assessment,0.6,,medium,Initial onboarding risk assessment - Classified as medium risk,,Onboarding System,Maria Garcia
CDD_391FC2D8C5,CUST_209A8AF0,2023-04-07,periodic_review,0.633,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Robert Johnson
CDD_A379AFBE76,CUST_209A8AF0,2023-07-02,periodic_review,0.637,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Michael Rodriguez
CDD_6C5C04B23F,CUST_209A8AF0,2023-10-07,periodic_review,0.548,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Sarah Chen
CDD_FE4C8405B3,CUST_209A8AF0,2024-01-09,periodic_review,0.611,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,David Kim
CDD_01CD4A63C3,CUST_209A8AF0,2024-04-06,periodic_review,0.517,medium,medium,Routine CDD review - Risk level maintained at medium - EDD investigation initiated,EDD_83052FEE91,Automated CDD Schedule,David Kim
CDD_9CA0B6F60A,CUST_209A8AF0,2024-07-03,periodic_review,0.527,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,David Kim
CDD_8FDE39A44C,CUST_209A8AF0,2024-09-26,periodic_review,0.508,medium,medium,Routine CDD review - Risk level maintained at medium,,Automated CDD Schedule,Jessica Martinez
CDD_751D7A6E35,CUST_209A8AF0,2024-12-27,periodic_review,0.696,medium,medium,Routine CDD review - Risk level maintained at medium - EDD investigation initiated,EDD_B5442A593D,Automated CDD Schedule,Sarah Chen
CDD_007F037E9C,CUST_209A8AF0,2025-03-31,risk_level_change,0.756,medium,high,Risk level increased during periodic CDD review - EDD investigation initiated,EDD_3BA22CDAF2,Risk Model,Lisa Anderson
CDD_0627FC7F50,CUST_209A8AF0,2025-07-02,periodic_review,0.83,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_4361EB29CE,Automated CDD Schedule,Michael Rodriguez
CDD_747701E685,CUST_209A8AF0,2025-10-14,periodic_review,0.822,high,high,Routine CDD review - Risk level maintained at high - EDD investigation initiated,EDD_A684FABC57,Automated CDD Schedule,William Taylor
CDD_72E1901192,CUST_0F3B10F1,2023-09-14,initial_risk_assessment,0.3,,low,Initial onboarding risk assessment - Classified as low risk,,Onboarding System,Robert Johnson
CDD_FFA7F771AA,CUST_0F3B10F1,2024-09-13,periodic_review,0.279,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,James Wilson
CDD_119513D02B,CUST_0F3B10F1,2025-09-15,periodic_review,0.356,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Maria Garcia
CDD_FB7C54F146,CUST_C3878356,2022-08-14,initial_risk_assessment,0.3,,low,Initial onboarding risk assessment - Classified as low risk,,Onboarding System,David Kim
CDD_6470ADE11D,CUST_C3878356,2023-08-14,periodic_review,0.316,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,James Wilson
CDD_6BD17F3E6F,CUST_C3878356,2024-08-25,periodic_review,0.239,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,David Kim
CDD_6BDBEA319A,CUST_C3878356,2025-09-08,periodic_review,0.385,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Lisa Anderson
CDD_5CEA6FA904,CUST_523A278F,2023-02-21,initial_risk_assessment,0.3,,low,Initial onboarding risk assessment - Classified as low risk,,Onboarding System,Maria Garcia
CDD_DBBE85EC58,CUST_523A278F,2023-08-20,periodic_review,0.251,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Jessica Martinez
CDD_C712C59682,CUST_523A278F,2024-03-02,periodic_review,0.319,low,low,Routine CDD review - Risk level maintained at low,,Automated CDD Schedule,Lisa Anderson
