kyc_event_id,customer_id,kyc_check_date,document_type,document_verified,reviewer,result,expiry_date,notes
KYC_BF14E458F4,CUST_3E6F7D38,2025-08-19,Driver License,True,David Kim,approved,2027-09-14,
KYC_390427200A,CUST_BE3A428D,2023-11-28,Utility Bill,True,Maria Garcia,approved,2025-08-25,
KYC_2C3C0E467E,CUST_BE3A428D,2023-11-28,Passport,True,Emily Thompson,approved,2028-09-11,
KYC_A4DC161795,CUST_BE3A428D,2025-01-05,Bank Statement,True,David Kim,approved,2028-10-24,
KYC_BE9E5BC5D3,CUST_538B2855,2022-09-27,Bank Statement,True,William Taylor,approved,2024-05-02,
KYC_26FFCB9C0E,CUST_538B2855,2022-09-27,Driver License,True,Lisa Anderson,approved,2026-03-13,
KYC_441F0448FA,CUST_538B2855,2024-02-22,Proof of Address,True,James Wilson,approved,2026-05-24,
KYC_927A2D3BC5,CUST_538B2855,2025-05-30,Driver License,True,Lisa Anderson,approved,2027-05-19,
KYC_E1A854074A,CUST_209A8AF0,2023-01-07,Passport,True,William Taylor,approved,2024-03-23,
KYC_CF62E7C407,CUST_209A8AF0,2023-01-07,Driver License,True,Lisa Anderson,approved,2025-08-09,
KYC_FDD6FD7BE3,CUST_209A8AF0,2024-01-08,Passport,True,Sarah Chen,approved,2027-07-26,
KYC_A3D9FABF3D,CUST_209A8AF0,2025-06-10,Bank Statement,True,William Taylor,approved,2028-10-27,
KYC_3281475C60,CUST_0F3B10F1,2023-09-14,Bank Statement,True,Maria Garcia,approved,2028-02-12,
KYC_0625ABE54F,CUST_0F3B10F1,2023-09-14,Passport,True,Sarah Chen,approved,2026-11-07,
KYC_7CEA334D91,CUST_0F3B10F1,2023-09-14,Utility Bill,True,Sarah Chen,approved,2026-07-11,
KYC_A42BE9DD05,CUST_0F3B10F1,2025-01-01,Passport,True,James Wilson,expired,2029-09-21,
KYC_4CB1F04B78,CUST_0F3B10F1,2025-09-14,Passport,True,Maria Garcia,approved,2029-06-04,
KYC_B204D192AD,CUST_C3878356,2022-08-14,Utility Bill,True,Michael Rodriguez,approved,2025-01-22,
KYC_0D6F002F59,CUST_C3878356,2022-08-14,Driver License,True,Emily Thompson,approved,2025-01-20,
KYC_2E9B751468,CUST_C3878356,2022-08-14,Passport,True,Lisa Anderson,approved,2027-04-29,
KYC_2FE774510E,CUST_C3878356,2023-12-26,Driver License,True,James Wilson,approved,2026-07-27,
KYC_D33F124CE6,CUST_C3878356,2024-12-07,Passport,True,Maria Garcia,approved,2029-05-07,
KYC_272323EDC7,CUST_523A278F,2023-02-21,Utility Bill,True,Lisa Anderson,approved,2026-01-15,
KYC_B5665A3FEA,CUST_523A278F,2023-02-21,Passport,True,Jessica Martinez,approved,2024-04-22,
KYC_02CA59B24C,CUST_523A278F,2023-02-21,Bank Statement,True,Emily Thompson,approved,2025-01-21,
KYC_2C000E4D92,CUST_523A278F,2023-02-21,Driver License,True,Maria Garcia,approved,2027-02-24,
KYC_1081356CBD,CUST_523A278F,2023-11-24,Passport,True,Jessica Martinez,approved,2026-04-23,
KYC_FC8812DDD1,CUST_523A278F,2024-11-26,Bank Statement,True,Sarah Chen,approved,2026-09-02,
KYC_109AF79F9E,CUST_DB742E84,2022-05-24,Bank Statement,True,Maria Garcia,rejected,2026-01-17,
KYC_B95261E2FD,CUST_DB742E84,2022-05-24,Utility Bill,True,James Wilson,approved,2024-04-30,
KYC_3D5FB4B6C6,CUST_DB742E84,2022-05-24,Driver License,True,Maria Garcia,approved,2023-08-07,
KYC_CCAE7EF8E0,CUST_DB742E84,2022-05-24,Passport,False,Maria Garcia,approved,2025-03-09,
KYC_FF5F268316,CUST_DB742E84,2023-10-29,Driver License,True,William Taylor,approved,2025-02-14,
KYC_755CC05355,CUST_DB742E84,2025-01-11,Driver License,True,Lisa Anderson,approved,2027-01-28,
KYC_EF3E489133,CUST_EAC90908,2023-02-15,Bank Statement,True,Sarah Chen,approved,2026-03-31,
KYC_F6D9A423D2,CUST_EAC90908,2023-02-15,Passport,True,David Kim,approved,2024-07-28,
KYC_935107E0D1,CUST_EAC90908,2024-05-30,Proof of Address,True,Lisa Anderson,approved,2026-05-21,
KYC_53E66D323E,CUST_EAC90908,2025-03-02,Passport,True,Emily Thompson,approved,2028-03-28,
KYC_AA9C1DEF0F,CUST_DBD016AD,2022-11-18,Driver License,True,Michael Rodriguez,pending,2026-02-21,
KYC_092063AFB7,CUST_DBD016AD,2022-11-18,Bank Statement,True,Sarah Chen,approved,2027-02-18,
KYC_3DB6EF8B87,CUST_DBD016AD,2022-11-18,Utility Bill,True,Robert Johnson,approved,2027-07-12,
KYC_28119F6BEC,CUST_DBD016AD,2023-10-02,Proof of Address,True,William Taylor,approved,2028-09-03,
KYC_A3F9779B61,CUST_DBD016AD,2024-12-01,Driver License,True,Jessica Martinez,approved,2027-02-17,
KYC_BDB888A608,CUST_96E38B83,2023-08-16,Passport,True,Emily Thompson,approved,2025-06-13,
KYC_AECAD5BE35,CUST_96E38B83,2023-08-16,Bank Statement,True,Michael Rodriguez,approved,2025-08-01,
KYC_58CF8A1015,CUST_96E38B83,2023-08-16,Utility Bill,True,William Taylor,pending,2026-08-23,
KYC_6951AC9A91,CUST_96E38B83,2023-08-16,Driver License,True,Maria Garcia,pending,2025-05-11,
KYC_D89359ED9B,CUST_96E38B83,2025-01-05,Driver License,True,William Taylor,approved,2028-04-05,
KYC_D8DCDD7311,CUST_96E38B83,2025-11-06,Bank Statement,True,William Taylor,pending,2028-09-16,
KYC_3FBEE39E78,CUST_0317F380,2022-01-10,Passport,True,Emily Thompson,approved,2025-09-18,
KYC_58A1160369,CUST_0317F380,2022-01-10,Utility Bill,True,David Kim,approved,2024-07-13,
KYC_BB6797563C,CUST_0317F380,2022-01-10,Bank Statement,True,Sarah Chen,approved,2025-12-29,
KYC_FFD217098A,CUST_0317F380,2022-01-10,Driver License,True,William Taylor,approved,2025-08-01,
KYC_D964C7727F,CUST_0317F380,2023-06-17,Driver License,True,Robert Johnson,approved,2026-02-10,
KYC_AFCFE55DF8,CUST_0317F380,2024-09-01,Passport,True,David Kim,approved,2028-09-28,
KYC_CA7BF22A0B,CUST_0317F380,2025-03-04,Driver License,True,William Taylor,approved,2026-11-27,
KYC_E0FDC46D92,CUST_6B418019,2023-06-26,Passport,True,Jessica Martinez,approved,2026-09-03,
KYC_A38C32C602,CUST_6B418019,2023-06-26,Bank Statement,True,Michael Rodriguez,rejected,2026-04-28,
KYC_801A05A7F5,CUST_6B418019,2023-06-26,Driver License,True,David Kim,approved,2025-01-20,
KYC_453B43A494,CUST_6B418019,2023-06-26,Utility Bill,True,Sarah Chen,approved,2025-04-05,
KYC_B20A8BD284,CUST_6B418019,2024-12-04,Proof of Address,True,Michael Rodriguez,approved,2029-04-27,
KYC_F0A26AA210,CUST_6B418019,2025-08-10,Bank Statement,True,Sarah Chen,approved,2027-01-13,
KYC_AA54C992C9,CUST_793813EC,2023-06-02,Passport,True,Sarah Chen,approved,2026-04-25,
KYC_2EFC6A15ED,CUST_793813EC,2023-06-02,Utility Bill,True,William Taylor,approved,2024-06-16,
KYC_41A6431544,CUST_793813EC,2023-06-02,Driver License,True,Emily Thompson,approved,2027-11-18,
KYC_B606DFBAA5,CUST_793813EC,2023-06-02,Bank Statement,True,James Wilson,approved,2026-04-01,
KYC_65BC4E7301,CUST_793813EC,2024-10-18,Passport,True,Emily Thompson,approved,2026-01-10,
KYC_EF024D36F0,CUST_A151C42E,2022-06-02,Driver License,True,Jessica Martinez,approved,2025-11-28,
KYC_AAC8A63558,CUST_A151C42E,2022-06-02,Bank Statement,True,Sarah Chen,approved,2026-09-16,
KYC_3909D55D9C,CUST_A151C42E,2023-03-30,Passport,True,Jessica Martinez,approved,2026-12-05,
KYC_165BF42BFC,CUST_A151C42E,2024-07-29,Proof of Address,True,Michael Rodriguez,approved,2028-03-09,
KYC_27843F07F3,CUST_4D835AD5,2022-06-08,Utility Bill,True,Jessica Martinez,approved,2026-06-25,
KYC_B29BB1CC75,CUST_4D835AD5,2022-06-08,Driver License,True,Sarah Chen,approved,2027-05-29,
KYC_7307979471,CUST_4D835AD5,2023-05-07,Bank Statement,True,James Wilson,approved,2025-06-01,
KYC_2096FB2E6B,CUST_4D835AD5,2024-04-21,Proof of Address,True,Emily Thompson,rejected,2028-03-17,
KYC_CEE4D0600F,CUST_4D835AD5,2025-04-09,Proof of Address,True,Jessica Martinez,rejected,2029-05-20,
KYC_BBB49F313B,CUST_D323C449,2023-04-17,Driver License,True,Jessica Martinez,approved,2025-10-05,
KYC_7C6952FF36,CUST_D323C449,2023-04-17,Passport,True,Maria Garcia,approved,2028-03-27,
KYC_3FF180B79A,CUST_D323C449,2023-04-17,Bank Statement,True,Emily Thompson,approved,2027-04-10,
KYC_DABE0ADB8D,CUST_D323C449,2023-04-17,Utility Bill,True,Sarah Chen,approved,2027-03-22,
KYC_BE1C060483,CUST_D323C449,2023-11-13,Driver License,True,Maria Garcia,approved,2028-03-20,
KYC_057F7D6CAB,CUST_D323C449,2024-11-14,Driver License,True,Maria Garcia,approved,2026-08-12,
KYC_6B6BFE9ACF,CUST_D323C449,2025-09-14,Driver License,True,Michael Rodriguez,approved,2028-09-22,
KYC_6514B6801E,CUST_CA86CFBD,2023-08-18,Utility Bill,True,Robert Johnson,approved,2027-09-03,
KYC_A34EE43C14,CUST_CA86CFBD,2023-08-18,Passport,True,Michael Rodriguez,approved,2028-06-05,
KYC_9E532C8639,CUST_CA86CFBD,2023-08-18,Driver License,True,Sarah Chen,approved,2027-04-18,
KYC_F6E945193F,CUST_CA86CFBD,2024-06-14,Proof of Address,True,Robert Johnson,approved,2026-06-01,
KYC_6F604B78DC,CUST_CA86CFBD,2025-06-11,Proof of Address,True,William Taylor,approved,2030-04-04,
KYC_579C273211,CUST_978DFDC2,2023-12-05,Driver License,True,David Kim,approved,2027-07-11,
KYC_596D18DE86,CUST_978DFDC2,2023-12-05,Bank Statement,True,Robert Johnson,approved,2025-03-16,
KYC_583C55A742,CUST_978DFDC2,2023-12-05,Utility Bill,True,David Kim,approved,2025-02-28,
KYC_1729464565,CUST_978DFDC2,2024-10-19,Bank Statement,True,James Wilson,approved,2029-01-24,
KYC_A870676E46,CUST_978DFDC2,2025-07-16,Bank Statement,False,David Kim,approved,2030-07-10,
KYC_16293B106A,CUST_6583D27F,2022-07-16,Bank Statement,True,Lisa Anderson,approved,2025-01-20,
KYC_94B9C6A13C,CUST_6583D27F,2022-07-16,Driver License,True,William Taylor,approved,2023-10-07,
KYC_FCE92AB523,CUST_6583D27F,2022-07-16,Utility Bill,True,David Kim,approved,2027-05-14,
KYC_6FCC2E3F8E,CUST_6583D27F,2023-09-02,Driver License,True,David Kim,pending,2024-11-03,
KYC_43CDC63343,CUST_6583D27F,2025-01-05,Passport,False,Jessica Martinez,pending,2027-01-18,
KYC_9B57D27CB6,CUST_6583D27F,2025-09-22,Driver License,True,Sarah Chen,approved,2029-07-25,
KYC_94AE7665AC,CUST_B33BF632,2023-04-30,Utility Bill,True,Robert Johnson,approved,2026-04-22,
KYC_4ADE639CE8,CUST_B33BF632,2023-04-30,Bank Statement,False,Michael Rodriguez,approved,2024-05-17,
KYC_D919320DC2,CUST_B33BF632,2023-04-30,Driver License,False,Lisa Anderson,approved,2025-03-21,
KYC_9CB1DB8678,CUST_B33BF632,2023-11-11,Proof of Address,True,Michael Rodriguez,approved,2027-07-22,
KYC_C9F9396A83,CUST_B33BF632,2024-06-21,Proof of Address,True,Jessica Martinez,approved,2028-02-26,
KYC_A9DC68DBF4,CUST_B33BF632,2025-09-11,Passport,True,Robert Johnson,approved,2028-01-23,
KYC_E9E29B67A3,CUST_466CD393,2022-03-16,Utility Bill,True,Sarah Chen,approved,2024-06-03,
KYC_69DFA4BE04,CUST_466CD393,2022-03-16,Passport,False,Jessica Martinez,approved,2024-07-05,
KYC_8C604A0BE3,CUST_466CD393,2022-03-16,Driver License,True,David Kim,rejected,2025-07-23,
KYC_F50E1008D7,CUST_466CD393,2022-03-16,Bank Statement,True,David Kim,approved,2024-11-13,
KYC_65F656E00E,CUST_466CD393,2022-09-22,Driver License,True,Lisa Anderson,expired,2026-09-20,
KYC_7D27D134BC,CUST_466CD393,2023-08-23,Proof of Address,True,William Taylor,approved,2028-05-24,
KYC_482C1F42CD,CUST_466CD393,2024-06-01,Driver License,True,Emily Thompson,approved,2026-10-04,
KYC_E59CCC96EC,CUST_466CD393,2025-07-17,Bank Statement,True,Robert Johnson,rejected,2027-03-23,
KYC_26011678F1,CUST_E973F83E,2022-05-05,Passport,True,William Taylor,approved,2025-09-13,
KYC_37616F268C,CUST_E973F83E,2022-05-05,Driver License,True,Jessica Martinez,approved,2024-09-14,
KYC_E0B396873D,CUST_E973F83E,2022-05-05,Bank Statement,True,David Kim,approved,2024-06-09,
KYC_422B9E8AE7,CUST_E973F83E,2022-05-05,Utility Bill,True,David Kim,rejected,2025-10-18,
KYC_ABF81B919C,CUST_E973F83E,2022-12-07,Bank Statement,True,Maria Garcia,approved,2024-03-24,
KYC_B9310714A0,CUST_E973F83E,2023-06-29,Passport,True,Emily Thompson,approved,2026-02-28,
KYC_E6F3A5DA64,CUST_E973F83E,2024-05-04,Bank Statement,False,Michael Rodriguez,approved,2026-04-25,
KYC_AAADD06C52,CUST_E973F83E,2025-02-27,Proof of Address,True,Emily Thompson,approved,2027-08-30,
KYC_EEB3680B5A,CUST_E973F83E,2025-10-18,Bank Statement,True,Maria Garcia,approved,2027-02-08,
KYC_55E7E86D21,CUST_BBE4604F,2023-06-18,Bank Statement,True,William Taylor,approved,2028-02-19,
KYC_BD3D709ECE,CUST_BBE4604F,2023-06-18,Utility Bill,True,Michael Rodriguez,approved,2024-11-23,
KYC_D6F8129DD0,CUST_BBE4604F,2024-12-04,Proof of Address,True,Emily Thompson,approved,2027-02-08,
KYC_A2EA2010CE,CUST_FACE6780,2023-04-23,Utility Bill,True,William Taylor,approved,2027-01-10,
KYC_D98BE7CBF0,CUST_FACE6780,2023-04-23,Driver License,True,Sarah Chen,approved,2027-01-18,
KYC_64D7B74908,CUST_FACE6780,2023-11-22,Passport,True,Maria Garcia,approved,2028-06-08,
KYC_983DB02C65,CUST_FACE6780,2025-03-23,Passport,True,Lisa Anderson,approved,2026-07-18,
KYC_34DB21AAAD,CUST_7A692691,2023-09-10,Driver License,True,Sarah Chen,approved,2027-07-20,
KYC_8BB714EB59,CUST_7A692691,2023-09-10,Passport,True,Lisa Anderson,approved,2025-03-26,
KYC_70271830ED,CUST_7A692691,2023-09-10,Utility Bill,True,David Kim,pending,2027-04-11,
KYC_0FA20E2A6E,CUST_7A692691,2024-11-22,Bank Statement,True,Emily Thompson,approved,2026-06-20,
KYC_C672593957,CUST_C98951F5,2023-03-15,Utility Bill,True,William Taylor,approved,2026-02-13,
KYC_9AFA1EA7C4,CUST_C98951F5,2023-03-15,Bank Statement,True,William Taylor,approved,2025-10-14,
KYC_B177220B61,CUST_C98951F5,2023-03-15,Passport,True,Jessica Martinez,approved,2025-09-03,
KYC_DFC06CA5D6,CUST_C98951F5,2024-03-18,Driver License,True,Michael Rodriguez,approved,2027-02-12,
KYC_F3A4A2407F,CUST_C98951F5,2024-09-20,Bank Statement,True,David Kim,approved,2027-10-01,
KYC_57CEB258B1,CUST_9D5631A5,2023-10-28,Driver License,True,David Kim,approved,2026-05-09,
KYC_DB58551E11,CUST_9D5631A5,2023-10-28,Utility Bill,True,Sarah Chen,approved,2027-02-14,
KYC_608D6FBEAA,CUST_9D5631A5,2023-10-28,Passport,True,Maria Garcia,approved,2028-09-16,
KYC_BD4D67EE5D,CUST_9D5631A5,2023-10-28,Bank Statement,True,Michael Rodriguez,pending,2026-06-04,
KYC_4ED3354CE4,CUST_9D5631A5,2025-02-25,Driver License,True,David Kim,approved,2029-05-27,
KYC_0D5195F60B,CUST_65C1C387,2022-04-28,Bank Statement,True,Lisa Anderson,approved,2026-08-04,
KYC_3E9ADD5BF9,CUST_65C1C387,2022-04-28,Utility Bill,True,Lisa Anderson,approved,2024-08-12,
KYC_1D5941F062,CUST_65C1C387,2023-07-13,Driver License,True,Sarah Chen,approved,2027-07-02,
KYC_8F8F6E6F4D,CUST_65C1C387,2024-03-04,Bank Statement,True,Michael Rodriguez,approved,2027-08-30,
KYC_A7A72BDBE9,CUST_65C1C387,2025-01-31,Driver License,True,David Kim,approved,2029-01-27,
KYC_7272363A90,CUST_A1A177ED,2022-05-04,Passport,True,Robert Johnson,approved,2025-05-04,
KYC_310CB07631,CUST_A1A177ED,2022-05-04,Utility Bill,True,Michael Rodriguez,approved,2025-08-14,
KYC_89C7A8DCEE,CUST_A1A177ED,2022-05-04,Bank Statement,True,Emily Thompson,approved,2024-01-25,
KYC_70D4C0FAF7,CUST_A1A177ED,2022-05-04,Driver License,True,Sarah Chen,approved,2024-06-04,
KYC_CF871D3DC4,CUST_A1A177ED,2022-11-12,Bank Statement,True,William Taylor,approved,2025-08-25,
KYC_279A3C8FA2,CUST_A1A177ED,2024-02-18,Driver License,True,Sarah Chen,approved,2027-06-20,
KYC_D12911BF30,CUST_A1A177ED,2025-04-26,Bank Statement,True,Robert Johnson,approved,2027-05-19,
KYC_86610965D8,CUST_9E25CA96,2023-10-29,Passport,True,Jessica Martinez,approved,2025-08-26,
KYC_A4ECBA9F20,CUST_9E25CA96,2023-10-29,Driver License,True,Lisa Anderson,approved,2025-05-17,
KYC_0DEBA8B366,CUST_9E25CA96,2023-10-29,Utility Bill,True,James Wilson,approved,2026-09-30,
KYC_9034B2755B,CUST_9E25CA96,2025-04-07,Passport,True,Jessica Martinez,approved,2026-07-01,
KYC_AE627D403F,CUST_53EA0448,2022-01-30,Passport,False,Maria Garcia,approved,2026-03-10,
KYC_359946F6AC,CUST_53EA0448,2022-01-30,Utility Bill,True,Maria Garcia,pending,2026-02-03,
KYC_B285FD59FE,CUST_53EA0448,2022-01-30,Driver License,True,David Kim,approved,2026-02-22,
KYC_B9AF6B79F4,CUST_53EA0448,2022-12-16,Driver License,False,James Wilson,rejected,2024-01-19,
KYC_95E1774C24,CUST_53EA0448,2023-09-17,Passport,True,James Wilson,approved,2027-11-30,
KYC_905B11C230,CUST_53EA0448,2024-12-18,Passport,True,David Kim,approved,2027-03-13,
KYC_14E3538DCE,CUST_53EA0448,2025-07-29,Passport,True,Emily Thompson,approved,2029-05-25,
KYC_00E407E7DF,CUST_9C050B53,2023-12-09,Passport,True,Michael Rodriguez,approved,2028-09-05,
KYC_2CB8B0549C,CUST_9C050B53,2023-12-09,Bank Statement,True,James Wilson,approved,2027-10-14,
KYC_0C055CDB0F,CUST_9C050B53,2025-01-09,Driver License,True,Robert Johnson,approved,2029-04-25,
KYC_FF10FD5BEC,CUST_9C050B53,2025-07-11,Passport,True,Maria Garcia,pending,2029-09-13,
KYC_FB7AF0AB04,CUST_AA15EA8C,2022-10-05,Bank Statement,True,Jessica Martinez,approved,2026-01-10,
KYC_288063931E,CUST_AA15EA8C,2022-10-05,Passport,True,David Kim,approved,2024-08-24,
KYC_A3B0D0EC26,CUST_AA15EA8C,2023-05-18,Bank Statement,True,Robert Johnson,rejected,2026-04-08,
KYC_03FEF4A31B,CUST_AA15EA8C,2024-03-30,Passport,True,Lisa Anderson,approved,2029-03-10,
KYC_91A5820FBF,CUST_AA15EA8C,2025-07-19,Bank Statement,True,Robert Johnson,pending,2029-12-17,
KYC_F5A17D5DA5,CUST_7FF17EBA,2022-10-31,Driver License,True,Michael Rodriguez,approved,2026-02-09,
KYC_C63016C71E,CUST_7FF17EBA,2022-10-31,Bank Statement,True,Michael Rodriguez,approved,2026-06-20,
KYC_E1A1961D42,CUST_7FF17EBA,2022-10-31,Utility Bill,True,Sarah Chen,approved,2027-03-23,
KYC_687EBE794C,CUST_7FF17EBA,2022-10-31,Passport,True,Michael Rodriguez,approved,2025-02-08,
KYC_0F2DE4094D,CUST_7FF17EBA,2023-07-29,Passport,True,Jessica Martinez,approved,2028-03-19,
KYC_B805F94BE7,CUST_7FF17EBA,2024-12-19,Bank Statement,True,William Taylor,rejected,2028-06-13,
KYC_8996C390E4,CUST_C20D1006,2023-03-28,Bank Statement,True,James Wilson,approved,2026-07-09,
KYC_C33894DEE6,CUST_C20D1006,2023-03-28,Passport,True,David Kim,approved,2026-08-29,
KYC_D12A71F5E7,CUST_C20D1006,2023-03-28,Utility Bill,True,Sarah Chen,approved,2024-04-06,
KYC_5494587622,CUST_C20D1006,2023-12-28,Proof of Address,True,James Wilson,approved,2028-04-13,
KYC_9FD22AA2AB,CUST_C20D1006,2025-02-12,Proof of Address,True,James Wilson,approved,2029-07-18,
KYC_098BB74673,CUST_7B7F6B0B,2023-03-03,Driver License,True,James Wilson,approved,2028-02-05,
KYC_EF3DCF76ED,CUST_7B7F6B0B,2023-03-03,Passport,True,Michael Rodriguez,approved,2026-07-14,
KYC_9873F21C1B,CUST_7B7F6B0B,2023-03-03,Utility Bill,True,Michael Rodriguez,approved,2024-07-15,
KYC_1B4A80E3C5,CUST_7B7F6B0B,2024-03-25,Bank Statement,True,Michael Rodriguez,approved,2025-12-02,
KYC_E99190A8C6,CUST_7B7F6B0B,2024-11-11,Bank Statement,True,Jessica Martinez,pending,2026-09-04,
KYC_C72E3CF85C,CUST_7B7F6B0B,2025-08-13,Bank Statement,True,Lisa Anderson,approved,2027-08-08,
KYC_93831EB277,CUST_BA91A0F7,2022-09-03,Passport,True,Jessica Martinez,rejected,2025-07-31,
KYC_0FEAA7A858,CUST_BA91A0F7,2022-09-03,Bank Statement,True,David Kim,approved,2024-12-04,
KYC_EC37599767,CUST_BA91A0F7,2022-09-03,Utility Bill,True,Sarah Chen,approved,2026-12-09,
KYC_38F2B08B12,CUST_BA91A0F7,2023-12-20,Bank Statement,False,James Wilson,approved,2026-06-20,
KYC_EE13FAAA87,CUST_BA91A0F7,2024-09-18,Bank Statement,False,Maria Garcia,approved,2028-02-07,
KYC_2540184070,CUST_274E0288,2022-06-02,Utility Bill,True,Lisa Anderson,approved,2025-05-05,
KYC_3A2AED5226,CUST_274E0288,2022-06-02,Driver License,True,Lisa Anderson,approved,2026-10-22,
KYC_973B3A43B6,CUST_274E0288,2022-06-02,Bank Statement,True,Michael Rodriguez,approved,2026-09-04,
KYC_FD4080BCA2,CUST_274E0288,2022-06-02,Passport,True,Michael Rodriguez,approved,2026-02-05,
KYC_DA0F28D76E,CUST_274E0288,2023-01-15,Driver License,True,Michael Rodriguez,approved,2024-08-05,
KYC_8649ED3A17,CUST_274E0288,2024-01-18,Proof of Address,True,James Wilson,approved,2025-08-07,
KYC_8F8D8033E2,CUST_274E0288,2025-05-20,Driver License,True,Maria Garcia,approved,2026-08-15,
KYC_C3434A0E66,CUST_9A684598,2023-09-05,Driver License,True,Sarah Chen,approved,2026-05-01,
KYC_AE270AC1B8,CUST_9A684598,2023-09-05,Utility Bill,True,Michael Rodriguez,approved,2026-08-20,
KYC_BBF2DEEBCE,CUST_9A684598,2023-09-05,Passport,True,Emily Thompson,pending,2024-12-11,
KYC_5231C73401,CUST_9A684598,2024-08-05,Passport,True,Lisa Anderson,pending,2027-11-09,
KYC_F9FB840581,CUST_A9497EE0,2022-10-12,Utility Bill,True,William Taylor,approved,2025-12-14,
KYC_937D8D2FED,CUST_A9497EE0,2022-10-12,Bank Statement,True,Emily Thompson,pending,2024-07-06,
KYC_575B38A7BB,CUST_A9497EE0,2022-10-12,Driver License,False,Lisa Anderson,approved,2024-01-22,
KYC_98FB2533AC,CUST_A9497EE0,2022-10-12,Passport,True,Robert Johnson,approved,2026-11-27,
KYC_785BF6BEE9,CUST_A9497EE0,2023-04-29,Bank Statement,True,William Taylor,approved,2028-04-23,
KYC_E9F947677E,CUST_A9497EE0,2024-02-10,Driver License,True,Emily Thompson,pending,2027-09-03,
KYC_A17C201D26,CUST_A9497EE0,2025-05-10,Proof of Address,True,Robert Johnson,approved,2028-04-18,
KYC_AE30D69A10,CUST_52FF05FC,2022-09-16,Utility Bill,True,William Taylor,approved,2025-01-31,
KYC_C93C9A9376,CUST_52FF05FC,2022-09-16,Passport,True,William Taylor,rejected,2027-06-23,
KYC_737188AB2D,CUST_52FF05FC,2022-09-16,Driver License,True,Michael Rodriguez,approved,2027-06-23,
