edd_id,customer_id,investigation_start,investigation_end,edd_reason,steps_taken,outcome,notes,senior_reviewer,regulatory_filing
EDD_5288951F3B,CUST_538B2855,2023-10-30,2023-11-14,Large value transactions,"Enhanced document collection, Transaction pattern analysis, Regulatory filing assessment, Management review",cleared,EDD investigation completed. Customer cleared.,James Wilson,No filing required
EDD_BFBF8C3826,CUST_538B2855,2023-12-09,2024-01-01,Unusual transaction patterns detected,"Enhanced document collection, External database screening, Management review, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,Jessica Martinez,No filing required
EDD_8EDC669DEE,CUST_538B2855,2024-01-23,2024-02-20,Large value transactions,"Enhanced document collection, Management review, Regulatory filing assessment, Beneficial ownership analysis, External database screening",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_33B84AADBA,CUST_538B2855,2024-03-01,2024-04-06,Unusual transaction patterns detected,"Beneficial ownership analysis, Regulatory filing assessment, Enhanced document collection",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Robert Johnson,No filing required
EDD_9BDC934ED6,CUST_538B2855,2024-04-10,2024-05-08,Elevated risk score,"Beneficial ownership analysis, Regulatory filing assessment, Transaction pattern analysis, External database screening, Enhanced document collection, Source of wealth verification",cleared,EDD investigation completed. Customer cleared.,Emily Thompson,No filing required
EDD_E6D9C66AF6,CUST_538B2855,2024-05-09,2024-05-22,Sanctions screening alert,"Enhanced document collection, Management review, Regulatory filing assessment, Source of wealth verification, Transaction pattern analysis, External database screening",account_closed,EDD investigation completed. Customer account closed.,David Kim,No filing required
EDD_083BAFA6BF,CUST_538B2855,2024-06-03,2024-07-07,Large value transactions,"Beneficial ownership analysis, Transaction pattern analysis, Enhanced document collection, Source of wealth verification",account_closed,EDD investigation completed. Customer account closed.,David Kim,No filing required
EDD_D99DB8F235,CUST_538B2855,2024-09-04,2024-10-01,Sanctions screening alert,"Beneficial ownership analysis, Source of wealth verification, External database screening, Management review, Transaction pattern analysis",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Michael Rodriguez,No filing required
EDD_83052FEE91,CUST_209A8AF0,2024-04-06,2024-05-20,Sanctions screening alert,"Source of wealth verification, External database screening, Management review, Regulatory filing assessment",account_closed,EDD investigation completed. Customer account closed.,Sarah Chen,No filing required
EDD_B5442A593D,CUST_209A8AF0,2024-12-27,2025-01-17,Large value transactions,"Enhanced document collection, Regulatory filing assessment, External database screening, Beneficial ownership analysis, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,David Kim,No filing required
EDD_3BA22CDAF2,CUST_209A8AF0,2025-03-31,2025-04-08,Unusual transaction patterns detected,"Enhanced document collection, External database screening, Transaction pattern analysis, Source of wealth verification, Management review, Beneficial ownership analysis",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,David Kim,SAR Filed
EDD_4361EB29CE,CUST_209A8AF0,2025-07-02,2025-07-18,PEP association identified,"Transaction pattern analysis, Management review, External database screening, Enhanced document collection, Source of wealth verification",cleared,EDD investigation completed. Customer cleared.,Lisa Anderson,No filing required
EDD_A684FABC57,CUST_209A8AF0,2025-10-14,,Large value transactions,"Regulatory filing assessment, Beneficial ownership analysis, Enhanced document collection, External database screening, Management review",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Lisa Anderson,No filing required
EDD_E2E3BB187B,CUST_4D835AD5,2024-05-23,2024-06-08,Geographic risk factors,"Transaction pattern analysis, Regulatory filing assessment, Management review",cleared,EDD investigation completed. Customer cleared.,William Taylor,No filing required
EDD_F0F3601420,CUST_CA86CFBD,2023-11-16,2023-11-26,Sanctions screening alert,"Transaction pattern analysis, Management review, Source of wealth verification, Enhanced document collection, Regulatory filing assessment",cleared,EDD investigation completed. Customer cleared.,Lisa Anderson,SAR Filed
EDD_79B0ECDD86,CUST_CA86CFBD,2025-08-31,2025-09-30,Geographic risk factors,"Enhanced document collection, Management review, Source of wealth verification, Beneficial ownership analysis, Transaction pattern analysis, External database screening",cleared,EDD investigation completed. Customer cleared.,Lisa Anderson,No filing required
EDD_061A6A8DC8,CUST_466CD393,2024-03-04,2024-03-27,Sanctions screening alert,"External database screening, Management review, Enhanced document collection",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Maria Garcia,No filing required
EDD_52CC9B08CD,CUST_E973F83E,2025-05-09,2025-06-22,Elevated risk score,"Regulatory filing assessment, Source of wealth verification, External database screening, Management review",cleared,EDD investigation completed. Customer cleared.,Jessica Martinez,No filing required
EDD_99518A113D,CUST_FACE6780,2025-01-31,2025-02-23,Geographic risk factors,"Management review, Source of wealth verification, Enhanced document collection, External database screening, Regulatory filing assessment, Transaction pattern analysis",account_closed,EDD investigation completed. Customer account closed.,Jessica Martinez,No filing required
EDD_235A945CBA,CUST_FACE6780,2025-05-12,2025-06-05,Unusual transaction patterns detected,"Transaction pattern analysis, Regulatory filing assessment, Enhanced document collection, Beneficial ownership analysis",account_closed,EDD investigation completed. Customer account closed.,James Wilson,No filing required
EDD_49AC9FF153,CUST_FACE6780,2025-08-02,2025-08-31,Source of funds verification required,"Enhanced document collection, Transaction pattern analysis, Source of wealth verification, Regulatory filing assessment",cleared,EDD investigation completed. Customer cleared.,Sarah Chen,No filing required
EDD_3AF59FE268,CUST_7A692691,2024-09-08,2024-10-06,Sanctions screening alert,"Source of wealth verification, External database screening, Beneficial ownership analysis, Management review, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,Lisa Anderson,SAR Filed
EDD_1E0D00602F,CUST_9D5631A5,2023-11-27,2023-12-06,Sanctions screening alert,"Beneficial ownership analysis, Transaction pattern analysis, Regulatory filing assessment, External database screening, Enhanced document collection",cleared,EDD investigation completed. Customer cleared.,Maria Garcia,SAR Filed
EDD_EB0CB371ED,CUST_9D5631A5,2023-12-20,2024-01-08,PEP association identified,"External database screening, Source of wealth verification, Beneficial ownership analysis, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,Michael Rodriguez,No filing required
EDD_D4D427B7AF,CUST_9D5631A5,2024-01-24,2024-02-28,Large value transactions,"Beneficial ownership analysis, Management review, Regulatory filing assessment",cleared,EDD investigation completed. Customer cleared.,Michael Rodriguez,SAR Filed
EDD_3D910621E3,CUST_9D5631A5,2024-03-02,2024-03-17,Source of funds verification required,"Beneficial ownership analysis, Transaction pattern analysis, External database screening, Enhanced document collection, Management review",cleared,EDD investigation completed. Customer cleared.,Emily Thompson,No filing required
EDD_9BEB75B534,CUST_9D5631A5,2024-04-12,2024-04-29,Source of funds verification required,"Beneficial ownership analysis, Regulatory filing assessment, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,Sarah Chen,No filing required
EDD_71E1BFB949,CUST_9D5631A5,2024-05-02,2024-06-13,Elevated risk score,"Source of wealth verification, External database screening, Management review, Beneficial ownership analysis, Transaction pattern analysis, Regulatory filing assessment",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_E36915F47B,CUST_9D5631A5,2024-06-01,2024-07-02,PEP association identified,"External database screening, Source of wealth verification, Beneficial ownership analysis, Transaction pattern analysis, Management review",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,William Taylor,No filing required
EDD_3EEF4BCECD,CUST_9D5631A5,2024-07-07,2024-07-21,Sanctions screening alert,"Transaction pattern analysis, Management review, Enhanced document collection",account_closed,EDD investigation completed. Customer account closed.,David Kim,No filing required
EDD_649A2D6100,CUST_9D5631A5,2024-08-08,2024-08-28,PEP association identified,"External database screening, Management review, Beneficial ownership analysis, Source of wealth verification",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,James Wilson,No filing required
EDD_B2319257F2,CUST_9D5631A5,2024-09-19,2024-10-21,Source of funds verification required,"Beneficial ownership analysis, Enhanced document collection, Management review",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Lisa Anderson,No filing required
EDD_908CE98F0D,CUST_9D5631A5,2024-10-04,2024-11-10,Geographic risk factors,"Beneficial ownership analysis, Management review, Transaction pattern analysis, Regulatory filing assessment",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Lisa Anderson,No filing required
EDD_D9F8FD368B,CUST_9D5631A5,2024-10-21,2024-11-01,Geographic risk factors,"Enhanced document collection, Source of wealth verification, Management review",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Jessica Martinez,SAR Filed
EDD_0E6AE304A9,CUST_9D5631A5,2024-11-20,2024-11-27,Large value transactions,"Beneficial ownership analysis, Transaction pattern analysis, Source of wealth verification, Management review, Enhanced document collection",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,David Kim,No filing required
EDD_1D26A75D3E,CUST_9D5631A5,2024-12-10,2025-01-01,Elevated risk score,"Beneficial ownership analysis, Enhanced document collection, Source of wealth verification, Regulatory filing assessment, Management review",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,James Wilson,No filing required
EDD_D123C4D1B4,CUST_9D5631A5,2025-01-18,2025-02-26,Source of funds verification required,"Management review, Source of wealth verification, Beneficial ownership analysis, External database screening, Enhanced document collection",cleared,EDD investigation completed. Customer cleared.,James Wilson,No filing required
EDD_AA09775559,CUST_9D5631A5,2025-02-09,2025-03-02,Elevated risk score,"Enhanced document collection, Management review, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,Maria Garcia,No filing required
EDD_9B7914121A,CUST_9D5631A5,2025-07-14,2025-08-20,Large value transactions,"Management review, Source of wealth verification, Beneficial ownership analysis, External database screening",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,Robert Johnson,No filing required
EDD_EFBA9C3E92,CUST_9D5631A5,2025-09-20,2025-10-10,Source of funds verification required,"Regulatory filing assessment, Management review, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,Jessica Martinez,No filing required
EDD_30211CCF8A,CUST_9D5631A5,2025-10-18,,Sanctions screening alert,"Regulatory filing assessment, External database screening, Beneficial ownership analysis, Enhanced document collection, Source of wealth verification, Transaction pattern analysis",account_closed,EDD investigation completed. Customer account closed.,David Kim,No filing required
EDD_6E77FBD008,CUST_7FF17EBA,2024-09-27,2024-10-11,Sanctions screening alert,"Source of wealth verification, Regulatory filing assessment, Enhanced document collection, Management review",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Maria Garcia,No filing required
EDD_CD8275F8E5,CUST_C20D1006,2024-12-06,2025-01-14,Large value transactions,"Transaction pattern analysis, Source of wealth verification, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,James Wilson,No filing required
EDD_2CA8B19479,CUST_C20D1006,2025-03-03,2025-03-18,Source of funds verification required,"Enhanced document collection, Regulatory filing assessment, Beneficial ownership analysis, External database screening, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,Jessica Martinez,No filing required
EDD_B2C838ED6D,CUST_C20D1006,2025-08-17,2025-09-06,Geographic risk factors,"Transaction pattern analysis, Regulatory filing assessment, External database screening, Management review, Source of wealth verification, Enhanced document collection",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,David Kim,No filing required
EDD_13DD17104F,CUST_BA91A0F7,2023-01-28,2023-03-08,Sanctions screening alert,"Enhanced document collection, Transaction pattern analysis, Management review, External database screening",cleared,EDD investigation completed. Customer cleared.,Jessica Martinez,No filing required
EDD_E507D2354C,CUST_BA91A0F7,2023-03-14,2023-04-09,Source of funds verification required,"External database screening, Transaction pattern analysis, Enhanced document collection, Management review, Regulatory filing assessment, Beneficial ownership analysis",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Maria Garcia,No filing required
EDD_6B7A7E8CC5,CUST_BA91A0F7,2023-04-11,2023-05-17,Unusual transaction patterns detected,"Source of wealth verification, External database screening, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,Michael Rodriguez,No filing required
EDD_23874849B1,CUST_BA91A0F7,2023-05-01,2023-06-15,Source of funds verification required,"Regulatory filing assessment, Beneficial ownership analysis, External database screening, Management review",cleared,EDD investigation completed. Customer cleared.,David Kim,SAR Filed
EDD_EAFE95B162,CUST_BA91A0F7,2023-06-08,2023-07-21,Elevated risk score,"External database screening, Transaction pattern analysis, Source of wealth verification, Management review, Regulatory filing assessment, Enhanced document collection",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_AA0CE38024,CUST_BA91A0F7,2023-07-08,2023-07-27,Sanctions screening alert,"Regulatory filing assessment, Management review, Source of wealth verification, Transaction pattern analysis, External database screening",cleared,EDD investigation completed. Customer cleared.,Michael Rodriguez,No filing required
EDD_31E8C3FE3B,CUST_BA91A0F7,2023-08-20,2023-09-17,Elevated risk score,"Transaction pattern analysis, Regulatory filing assessment, Management review, External database screening, Source of wealth verification, Enhanced document collection",cleared,EDD investigation completed. Customer cleared.,Jessica Martinez,No filing required
EDD_C13C58CC7C,CUST_BA91A0F7,2023-09-10,2023-09-17,Source of funds verification required,"Beneficial ownership analysis, Management review, Source of wealth verification, External database screening, Enhanced document collection, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,Michael Rodriguez,SAR Filed
EDD_8E7EDC45A5,CUST_BA91A0F7,2023-10-12,2023-11-26,PEP association identified,"Beneficial ownership analysis, Regulatory filing assessment, Enhanced document collection, External database screening, Management review, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,Sarah Chen,No filing required
EDD_A0C21F9C44,CUST_BA91A0F7,2023-11-19,2023-11-26,Unusual transaction patterns detected,"External database screening, Beneficial ownership analysis, Source of wealth verification, Enhanced document collection, Management review",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,Jessica Martinez,No filing required
EDD_D5F84213C8,CUST_BA91A0F7,2023-12-22,2024-01-20,Elevated risk score,"Transaction pattern analysis, Management review, Enhanced document collection, External database screening, Regulatory filing assessment, Source of wealth verification",cleared,EDD investigation completed. Customer cleared.,Maria Garcia,No filing required
EDD_D2B317A05D,CUST_BA91A0F7,2024-02-05,2024-03-05,Source of funds verification required,"Management review, Enhanced document collection, Regulatory filing assessment",cleared,EDD investigation completed. Customer cleared.,Emily Thompson,SAR Filed
EDD_F082841D9D,CUST_BA91A0F7,2024-02-22,2024-03-21,Large value transactions,"Management review, Transaction pattern analysis, Beneficial ownership analysis, Regulatory filing assessment, Enhanced document collection",cleared,EDD investigation completed. Customer cleared.,Maria Garcia,No filing required
EDD_3215B35D9A,CUST_BA91A0F7,2024-03-26,2024-04-06,PEP association identified,"Beneficial ownership analysis, Regulatory filing assessment, External database screening, Enhanced document collection",cleared,EDD investigation completed. Customer cleared.,David Kim,No filing required
EDD_FE68F04B50,CUST_BA91A0F7,2024-04-12,2024-04-21,Elevated risk score,"Beneficial ownership analysis, External database screening, Source of wealth verification, Regulatory filing assessment, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,William Taylor,SAR Filed
EDD_495D66B7FD,CUST_BA91A0F7,2024-04-27,2024-05-24,Large value transactions,"Management review, Enhanced document collection, Beneficial ownership analysis",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,William Taylor,No filing required
EDD_BC734C8D98,CUST_BA91A0F7,2024-06-01,2024-06-30,Source of funds verification required,"Enhanced document collection, Regulatory filing assessment, Beneficial ownership analysis, Transaction pattern analysis, Source of wealth verification",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Maria Garcia,No filing required
EDD_E2B8CBED6A,CUST_BA91A0F7,2024-06-18,2024-07-19,Geographic risk factors,"Transaction pattern analysis, Regulatory filing assessment, Source of wealth verification",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,Jessica Martinez,No filing required
EDD_609461A6C8,CUST_BA91A0F7,2024-07-20,2024-08-01,Source of funds verification required,"Regulatory filing assessment, Source of wealth verification, Transaction pattern analysis, Beneficial ownership analysis, Management review, Enhanced document collection",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,William Taylor,No filing required
EDD_B2ABB99FC4,CUST_BA91A0F7,2024-08-31,2024-09-17,Large value transactions,"Beneficial ownership analysis, Regulatory filing assessment, Source of wealth verification, Management review, External database screening",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Emily Thompson,No filing required
EDD_8236FCBF90,CUST_BA91A0F7,2024-09-15,2024-10-17,Elevated risk score,"Source of wealth verification, Enhanced document collection, Transaction pattern analysis, External database screening",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Maria Garcia,No filing required
EDD_68DA7781F4,CUST_BA91A0F7,2024-11-23,2024-12-07,Unusual transaction patterns detected,"External database screening, Transaction pattern analysis, Beneficial ownership analysis, Regulatory filing assessment",account_closed,EDD investigation completed. Customer account closed.,Jessica Martinez,No filing required
EDD_4D421AA0B4,CUST_BA91A0F7,2024-12-21,2025-01-16,Elevated risk score,"Source of wealth verification, Beneficial ownership analysis, External database screening, Enhanced document collection, Regulatory filing assessment",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_9494AC1860,CUST_BA91A0F7,2025-01-15,2025-02-06,Geographic risk factors,"External database screening, Source of wealth verification, Management review",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_9288814C9B,CUST_BA91A0F7,2025-02-02,2025-02-26,Large value transactions,"External database screening, Source of wealth verification, Management review, Beneficial ownership analysis, Enhanced document collection, Regulatory filing assessment",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Lisa Anderson,No filing required
EDD_6445CE2CAC,CUST_BA91A0F7,2025-03-10,2025-04-09,Elevated risk score,"Management review, Transaction pattern analysis, Enhanced document collection, Regulatory filing assessment, External database screening",cleared,EDD investigation completed. Customer cleared.,Sarah Chen,No filing required
EDD_47D1CBDA52,CUST_BA91A0F7,2025-03-31,2025-05-14,Geographic risk factors,"Enhanced document collection, Management review, Regulatory filing assessment, Beneficial ownership analysis",cleared_with_conditions,EDD investigation completed. Customer cleared with conditions.,Sarah Chen,No filing required
EDD_51D4E246F3,CUST_BA91A0F7,2025-04-25,2025-05-06,Geographic risk factors,"Source of wealth verification, Beneficial ownership analysis, Transaction pattern analysis, External database screening, Regulatory filing assessment, Management review",account_closed,EDD investigation completed. Customer account closed.,Emily Thompson,SAR Filed
EDD_9D6F696C08,CUST_BA91A0F7,2025-06-09,2025-07-03,PEP association identified,"Regulatory filing assessment, Source of wealth verification, Enhanced document collection, Management review, External database screening",cleared,EDD investigation completed. Customer cleared.,William Taylor,SAR Filed
EDD_B5E3CCC7E1,CUST_BA91A0F7,2025-07-22,2025-08-01,Unusual transaction patterns detected,"Source of wealth verification, Management review, Transaction pattern analysis, Regulatory filing assessment, Beneficial ownership analysis, External database screening",cleared,EDD investigation completed. Customer cleared.,Jessica Martinez,No filing required
EDD_AEBA380D0C,CUST_BA91A0F7,2025-09-01,2025-09-21,PEP association identified,"Enhanced document collection, Regulatory filing assessment, Management review, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,Lisa Anderson,No filing required
EDD_F4ECD97BF4,CUST_BA91A0F7,2025-09-19,2025-10-08,Sanctions screening alert,"Management review, Source of wealth verification, Enhanced document collection, Regulatory filing assessment, Beneficial ownership analysis",cleared,EDD investigation completed. Customer cleared.,David Kim,SAR Filed
EDD_0CD9EF3891,CUST_BA91A0F7,2025-10-24,,Source of funds verification required,"External database screening, Management review, Source of wealth verification",cleared,EDD investigation completed. Customer cleared.,Emily Thompson,No filing required
EDD_3D822DF945,CUST_A9497EE0,2022-11-11,2022-12-14,Unusual transaction patterns detected,"Enhanced document collection, Beneficial ownership analysis, Source of wealth verification, Regulatory filing assessment, External database screening, Management review",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_CC58E81A35,CUST_A9497EE0,2022-12-12,2022-12-27,Source of funds verification required,"Source of wealth verification, Enhanced document collection, External database screening, Transaction pattern analysis, Management review",cleared,EDD investigation completed. Customer cleared.,Maria Garcia,No filing required
EDD_782C137669,CUST_A9497EE0,2023-02-19,2023-03-07,Source of funds verification required,"Enhanced document collection, Beneficial ownership analysis, Regulatory filing assessment, Transaction pattern analysis",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,No filing required
EDD_168B5BFA6F,CUST_A9497EE0,2023-04-23,2023-05-24,PEP association identified,"External database screening, Management review, Regulatory filing assessment",cleared,EDD investigation completed. Customer cleared.,Robert Johnson,SAR Filed
EDD_8EB2732A3F,CUST_A9497EE0,2024-08-15,2024-09-14,Source of funds verification required,"Transaction pattern analysis, Beneficial ownership analysis, Management review, External database screening",cleared,EDD investigation completed. Customer cleared.,Jessica Martinez,SAR Filed
EDD_1AF8CC605C,CUST_A9497EE0,2024-09-26,2024-10-18,Unusual transaction patterns detected,"Source of wealth verification, Transaction pattern analysis, Management review, Enhanced document collection, External database screening, Beneficial ownership analysis",restrictions_imposed,EDD investigation completed. Customer restrictions imposed.,Jessica Martinez,No filing required
EDD_1B09F18377,CUST_A9497EE0,2024-10-22,2024-10-29,Unusual transaction patterns detected,"Enhanced document collection, Transaction pattern analysis, Regulatory filing assessment",account_closed,EDD investigation completed. Customer account closed.,Maria Garcia,No filing required
